Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-11,Roanoke,70-79,17,3,1,Virginia
2020-07-11,Central Shenandoah,20-29,438,8,0,Virginia
2020-07-11,Pittsylvania-Danville,80+,10,5,2,Virginia
2020-07-11,Virginia Beach,80+,96,33,21,Virginia
2020-07-11,Central Shenandoah,50-59,397,33,3,Virginia
2020-07-11,Lenowisco,Missing,0,0,0,Virginia
2020-07-11,Fairfax,30-39,2816,182,6,Virginia
2020-07-11,Lenowisco,60-69,7,5,2,Virginia
2020-07-11,Loudoun,30-39,763,27,0,Virginia
2020-07-11,West Piedmont,80+,18,9,1,Virginia
2020-07-11,Roanoke,80+,43,3,9,Virginia
2020-07-11,Fairfax,40-49,2730,258,9,Virginia
2020-07-11,Thomas Jefferson,80+,103,27,19,Virginia
2020-07-11,Roanoke,20-29,135,3,0,Virginia
2020-07-11,Henrico,60-69,300,51,34,Virginia
2020-07-11,Lord Fairfax,40-49,346,17,1,Virginia
2020-07-11,Western Tidewater,Missing,9,0,0,Virginia
2020-07-11,Chickahominy,60-69,79,21,6,Virginia
2020-07-11,Chesapeake,20-29,230,4,0,Virginia
2020-07-11,Three Rivers,Missing,4,0,0,Virginia
2020-07-11,Henrico,10-19,190,3,0,Virginia
2020-07-11,Mount Rogers,30-39,120,4,0,Virginia
2020-07-11,Eastern Shore,30-39,234,8,0,Virginia
2020-07-11,Lord Fairfax,60-69,236,48,14,Virginia
2020-07-11,Western Tidewater,0-9,14,0,0,Virginia
2020-07-11,Rappahannock,70-79,108,30,14,Virginia
2020-07-11,Prince William,80+,239,81,72,Virginia
2020-07-11,Hampton,80+,12,2,1,Virginia
2020-07-11,Alexandria,80+,93,28,25,Virginia
2020-07-11,Mount Rogers,60-69,98,10,0,Virginia
